epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.64908,1.75119,4.51521,1.63973,0.00134,0.00357,0.00074,0.00029,1.94536,4.57549,1.63044,1.818e-05,1.818e-05,1.818e-05
2,12.7255,1.73762,4.47476,1.63109,0.0017,0.00357,0.00088,0.00035,1.85539,4.54772,1.57644,4.09505e-05,4.09505e-05,4.09505e-05
3,18.6541,1.52457,4.2356,1.48992,0.00196,0.00357,0.00103,0.00052,1.80369,4.52115,1.491,5.83214e-05,5.83214e-05,5.83214e-05
4,24.4086,1.46791,4.05051,1.38533,0.00204,0.00357,0.00118,0.00059,1.75737,4.48163,1.43558,7.0293e-05,7.0293e-05,7.0293e-05
5,30.1565,1.42992,3.83522,1.26403,0.00265,0.00743,0.00249,0.00142,1.70208,4.43449,1.36344,7.6865e-05,7.6865e-05,7.6865e-05
6,35.8432,1.35334,3.50555,1.24028,0.00364,0.01515,0.00542,0.00267,1.66953,4.39096,1.33371,7.80377e-05,7.80377e-05,7.80377e-05
7,41.6541,1.32116,3.31548,1.2195,0.0048,0.02288,0.00624,0.00282,1.65663,4.34683,1.31415,7.38108e-05,7.38108e-05,7.38108e-05
8,47.4937,1.34369,3.11213,1.2291,0.00566,0.03773,0.00701,0.00324,1.66842,4.32746,1.30468,6.41845e-05,6.41845e-05,6.41845e-05
9,53.2916,1.35755,2.98724,1.24234,0.00897,0.0413,0.00976,0.00416,1.6633,4.30399,1.29607,4.91587e-05,4.91587e-05,4.91587e-05
10,59.1071,1.35248,2.88387,1.21446,0.00862,0.0413,0.00985,0.00557,1.65095,4.29343,1.28878,2.87335e-05,2.87335e-05,2.87335e-05
